word_lower	word_cap	alt_caps	examples	source	status	notes
aquaporin	Aquaporin		Aquaporin-1 deficiency	OMIM	lower	
arboleda	Arboleda		Arboleda-Tham syndrome	OMIM	cap	
argente	Argente		Short stature, Dauber-Argente type	OMIM	cap	
argininemia	Argininemia		Argininemia	OMIM	lower	
argininosuccinic	Argininosuccinic		Argininosuccinic aciduria	OMIM	lower	
armfield	Armfield		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
aromatase	Aromatase		Aromatase excess syndrome; Aromatase deficiency	OMIM	lower	
aromatic	Aromatic		Aromatic L-amino acid decarboxylase deficiency	OMIM	lower	
arrhythmogenic	Arrhythmogenic		Arrhythmogenic right ventricular dysplasia 4; Arrhythmogenic right ventricular dysplasia 5; Arrhythmogenic right ventricular dysplasia 8	OMIM	lower	
arterial	Arterial		Arterial tortuosity-bone fragility syndrome; Arterial calcification, generalized, of infancy, 1; Arterial calcification, generalized, of infancy, 2	OMIM	lower	
arteriovenous	Arteriovenous		Arteriovenous malformation of the brain, somatic	OMIM	lower	
arthrogryposis	Arthrogryposis		Arthrogryposis, impaired intellectual development, and se...; Arthrogryposis multiplex congenita 6; Arthrogryposis, distal, type 10	OMIM	lower	
arts	Arts		Arts syndrome	OMIM	lower	common word, handle deviations with pattern
asparagine	Asparagine		Asparagine synthetase deficiency	OMIM	lower	
aspartate	Aspartate		Aspartate aminotransferase, serum level of, QTL1	OMIM	lower	
aspartylglucosaminuria	Aspartylglucosaminuria		Aspartylglucosaminuria	OMIM	lower	
asperger	Asperger		Asperger syndrome susceptibility 3; Asperger syndrome susceptibility 4; Asperger syndrome susceptibility 1	OMIM	cap	
aspergillosis	Aspergillosis		Aspergillosis, susceptibility to	OMIM	lower	
asplenia	Asplenia		Asplenia, isolated congenital	OMIM	lower	
asthma	Asthma		Asthma-related traits, susceptibility to, 4; Asthma-related traits, susceptibility to, 7; Asthma-related traits, susceptibility to, 3	OMIM	lower	
atad	ATAD		Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster	OMIM	cap	
ataxia	Ataxia		Ataxia-pancytopenia syndrome; Ataxia, sensory, 1, autosomal dominant; Ataxia with isolated vitamin E deficiency	OMIM	lower	
atelis	Atelis		Atelis syndrome 2; Atelis syndrome 1	OMIM	cap	
atelosteogenesis	Atelosteogenesis		Atelosteogenesis, type I; Atelosteogenesis, type III; Atelosteogenesis, type II	OMIM	lower	
athabaskan	Athabaskan		Athabaskan brainstem dysgenesis syndrome	OMIM	cap	
atherosclerosis	Atherosclerosis		Atherosclerosis, susceptibility to} (3); Atherosclerosis, susceptibility to	OMIM	lower	
atic	ATIC		AICA-ribosiduria due to ATIC deficiency	OMIM	cap	
atp	ATP		Mitochondrial complex V (ATP synthase) deficiency, nuclea...; Mitochondrial complex V (ATP synthase) deficiency, nuclea...; Mitochondrial complex V (ATP synthase) deficiency, nuclea...	OMIM	cap	
atransferrinemia	Atransferrinemia		Atransferrinemia	OMIM	lower	
atrial	Atrial		Atrial standstill 2; Atrial fibrillation, familial, 6; Atrial fibrillation, familial, 11	OMIM	lower	
atrichia	Atrichia		Atrichia with papular lesions	OMIM	lower	
atrioventricular	Atrioventricular		Atrioventricular septal defect, susceptibility to, 1; Atrioventricular septal defect, partial, with heterotaxy ...; Atrioventricular septal defect, susceptibility to, 2	OMIM	lower	
attention	Attention		Attention deficit-hyperactivity disorder, susceptibility ...; Attention deficit-hyperactivity disorder, susceptibility to; Attention deficit-hyperactivity disorder, susceptibility ...	OMIM	lower	
auditory	Auditory		Auditory neuropathy, autosomal recessive, 1; Auditory neuropathy, autosomal dominant 3; Auditory neuropathy, autosomal dominant 1	OMIM	lower	
aural	Aural		Aural atresia, congenital	OMIM	lower	
auriculocondylar	Auriculocondylar		Auriculocondylar syndrome 1; Auriculocondylar syndrome 3; Auriculocondylar syndrome 4	OMIM	lower	
auroneurodental	Auroneurodental		Auroneurodental syndrome	OMIM	lower	
autism	Autism		Autism susceptibility 11; ?Autism susceptibility 16; Autism susceptibility 8	OMIM	lower	
autoimmune	Autoimmune		Autoimmune disease, susceptibility to, 1; Autoimmune lymphoproliferative syndrome, type IB; Autoimmune disease, multisystem, infantile-onset, 2	OMIM	lower	
autoinflammation	Autoinflammation		Autoinflammation, immune dysregulation, and eosinophilia; Autoinflammation and autoimmunity, systemic, with immune ...; Autoinflammation with infantile enterocolitis	OMIM	lower	
autoinflammatory	Autoinflammatory		Autoinflammatory syndrome, familial, Behcet-like 1; Autoinflammatory disease, systemic, with vasculitis; Autoinflammatory disease, familial, Behcet-like-3	OMIM	lower	
autonomic	Autonomic		Autonomic nervous system dysfunction (3)	OMIM	lower	
avascular	Avascular		Avascular necrosis of the femoral head; Avascular necrosis of femoral head, primary, 2	OMIM	lower	
avellino	Avellino		Corneal dystrophy, Avellino type	OMIM	cap	
axenfeld	Axenfeld		Axenfeld-Rieger syndrome, type 1; Axenfeld-Rieger syndrome, type 3; Scaphocephaly and Axenfeld-Rieger anomaly (3)	OMIM	cap	
ayme	Ayme		Ayme-Gripp syndrome	OMIM	cap	
azoospermia	Azoospermia		Azoospermia, obstructive, with nephrolithiasis	OMIM	lower	
bachmann	Bachmann		Bachmann-Bupp syndrome	OMIM	cap	
bacteremia	Bacteremia		Bacteremia, susceptibility to; Bacteremia, protection against	OMIM	lower	
bain	Bain		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
bainbridge	Bainbridge		Bainbridge-Ropers syndrome	OMIM	cap	
bakalinova	Bakalinova		Al-Gazali-Bakalinova syndrome	OMIM	cap	
baker	Baker		Baker-Gordon syndrome	OMIM	cap	may need to allow lowercase = common word; not yet aware of any common use
baller	Baller		Baller-Gerold syndrome	OMIM	cap	
bamforth	Bamforth		Bamforth-Lazarus syndrome	OMIM	cap	
band	Band		Band heterotopia	OMIM	lower	
banka	Banka		Faundes-Banka syndrome	OMIM	cap	
baraitser	Baraitser		Temple-Baraitser syndrome; Baraitser-Winter syndrome 1; Nicolaides-Baraitser syndrome	OMIM	cap	
barakat	Barakat		Kaya-Barakat-Masson syndrome	OMIM	cap	
baralle	Baralle		Baralle-Macken syndrome	OMIM	cap	
barber	Barber		Barber-Say syndrome	OMIM	lower	common word, handle deviations with pattern
bardet	Bardet		Bardet-Biedl syndrome 1, modifier of; Bardet-Biedl syndrome 16; Bardet-Biedl syndrome 20	OMIM	cap	
barel	Barel		Birk-Barel syndrome	OMIM	cap	
barnes	Barnes		Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gis...	OMIM	cap	
baron	Baron		Lui-Jee-Baron syndrome	OMIM	cap	
barr	Barr		Immunodeficiency 134 (Epstein-Barr virus-specific); Immunodeficiency, X-linked, with magnesium defect, Epstei...	OMIM	cap	
barrett	Barrett		Barrett esophagus/esophageal adenocarcinoma	OMIM	cap	
barrow	Barrow		Donnai-Barrow syndrome	OMIM	cap	
bart	Bart		Epidermolysis bullosa dystrophica, Bart type; Bart-Pumphrey syndrome	OMIM	cap	
barth	Barth		Barth syndrome	OMIM	cap	
bartsocas	Bartsocas		Popliteal pterygium syndrome, Bartsocas-Papas type 2; Popliteal pterygium syndrome, Bartsocas-Papas type 1	OMIM	cap	
bartter	Bartter		Bartter syndrome, type 4b, digenic; Bartter syndrome, type 3; Bartter syndrome, type 4a	OMIM	cap	
basal	Basal		Basal cell carcinoma, susceptibility to, 1; Basal cell carcinoma, somatic; Basal ganglia calcification, idiopathic, 6	OMIM	lower	
basan	Basan		Basan syndrome	OMIM	cap	
basel	Basel		Basel-Vanagaite-Smirin-Yosef syndrome	OMIM	cap	
basilicata	Basilicata		Basilicata-Akhtar syndrome	OMIM	cap	
bazex	Bazex		Bazex-Dupre-Christol syndrome	OMIM	cap	
bcard	BCARD		BCARD syndrome (lysyl hydroxylase 3 deficiency)	OMIM	cap	
bdv	BDV		BDV syndrome	OMIM	cap	
beare	Beare		Beare-Stevenson cutis gyrata syndrome	OMIM	cap	
beaulieu	Beaulieu		Beaulieu-Boycott-Innes syndrome	OMIM	cap	
beck	Beck		Beck-Fahrner syndrome	OMIM	cap	
becker	Becker		Becker nevus, syndromic or isolated, somatic mosaic; Becker muscular dystrophy	OMIM	cap	
beckwith	Beckwith		Beckwith-Wiedemann syndrome	OMIM	cap	
behcet	Behcet		Autoinflammatory syndrome, familial, Behcet-like 1; Autoinflammatory disease, familial, Behcet-like-3; Autoinflammatory syndrome, familial, X-linked, Behcet-like 2	OMIM	cap	
behmel	Behmel		Simpson-Golabi-Behmel syndrome, type 2; Simpson-Golabi-Behmel syndrome, type 1	OMIM	cap	
behnke	Behnke		Corneal dystrophy, Thiel-Behnke type	OMIM	cap	
behr	Behr		Behr syndrome	OMIM	cap	
bellen	Bellen		Pan-Chung-Bellen syndrome	OMIM	cap	
bent	Bent		Bent bone dysplasia syndrome; Bent bone dysplasia syndrome 2	OMIM	lower	
bernard	Bernard		Bernard-Soulier syndrome, type C; Bernard-Soulier syndrome, type A1 (recessive); Bernard-Soulier syndrome, type A2 (dominant)	OMIM	cap	
bestrophinopathy	Bestrophinopathy		Bestrophinopathy, autosomal recessive	OMIM	lower	
beta	Beta		Beta-aminoisobutyric acid, urinary excretion of; Beta-glycopyranoside tasting; Beta-ureidopropionase deficiency	OMIM	lower	
bethlem	Bethlem		Bethlem myopathy 1C; Bethlem myopathy 2; Bethlem myopathy 1A	OMIM	cap	
beukes	Beukes		Hip dysplasia, Beukes type	OMIM	cap	
beuren	Beuren		Williams-Beuren syndrome	OMIM	cap	
bhoj	Bhoj		Bryant-Li-Bhoj neurodevelopmental syndrome 1; Bryant-Li-Bhoj neurodevelopmental syndrome 2; Mulchandani-Bhoj-Conlin syndrome	OMIM	cap	
bickel	Bickel		Fanconi-Bickel syndrome	OMIM	cap	
bicknell	Bicknell		Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 1; Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 3; Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 4	OMIM	cap	
biedl	Biedl		Bardet-Biedl syndrome 1, modifier of; Bardet-Biedl syndrome 16; Bardet-Biedl syndrome 20	OMIM	cap	
bienvenu	Bienvenu		Poirier-Bienvenu neurodevelopmental syndrome	OMIM	cap	
bietti	Bietti		Bietti crystalline corneoretinal dystrophy	OMIM	cap	
bifid	Bifid		Bifid nose with or without anorectal and renal anomalies	OMIM	lower	
bile	Bile		Bile acid synthesis defect, congenital, 5; Bile acid synthesis defect, congenital, 6; Bile acid synthesis defect, congenital, 4	OMIM	lower	
biliary	Biliary		Biliary cirrhosis, primary, 3; Biliary cirrhosis, primary, 1; Biliary cirrhosis, primary, 2	OMIM	lower	
bilirubin	Bilirubin		Bilirubin, serum level of, QTL1	OMIM	lower	
billuart	Billuart		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
biotinidase	Biotinidase		Biotinidase deficiency	OMIM	lower	
